,pd,pf,auc,p,F
logsitic,0.4706,0.2456,0.5964,0.2222,0.3019,
bayes,0.7353,0.6491,0.6718,0.1445,0.2415,
random_forest,0.1471,0.0614,0.3151,0.2632,0.1887,
svc,1.0000,1.0000,0.5000,0.1298,0.2297,
mlp,1.0000,1.0000,0.6716,0.1298,0.2297,
lgbm,0.2059,0.0746,0.7277,0.2917,0.2414,
