,pd,pf,auc,p,F
logsitic,0.4167,0.4154,0.4889,0.3571,0.3846,
bayes,0.2500,0.0154,0.4577,0.9000,0.3913,
random_forest,0.6389,0.3846,0.3878,0.4792,0.5476,
svc,1.0000,0.9692,0.5154,0.3636,0.5333,
mlp,0.5833,0.4154,0.5624,0.4375,0.5000,
lgbm,0.5000,0.3077,0.6244,0.4737,0.4865,
