,pd,pf,auc,p,F
logsitic,0.7958,0.2680,0.5081,0.3219,0.4584,
bayes,0.8451,0.7939,0.6991,0.1455,0.2482,
random_forest,0.4155,0.0800,0.1786,0.4538,0.4338,
svc,1.0000,1.0000,0.5000,0.1379,0.2423,
mlp,0.5141,0.2477,0.3730,0.2491,0.3356,
lgbm,0.5352,0.1059,0.8809,0.4471,0.4872,
