,pd,pf,auc,p,F
logsitic,0.8538,0.7984,0.6761,0.2889,0.4317,
bayes,0.1392,0.0385,0.4269,0.5784,0.2243,
random_forest,0.3774,0.1496,0.3556,0.4893,0.4261,
svc,0.9858,0.8952,0.5453,0.2950,0.4541,
mlp,0.3868,0.3342,0.6470,0.3054,0.3413,
lgbm,0.4057,0.1819,0.6993,0.4587,0.4305,
