jedit4_10%,pd,pf,auc,p,F
logsitic,0.6618,0.3462,0.6564,0.3846,0.4865,
bayes,0.5735,0.7067,0.6612,0.2097,0.3071,
random_forest,0.7500,0.3702,0.4621,0.3984,0.5204,
svc,0.9853,0.8798,0.5527,0.2680,0.4214,
mlp,0.3824,0.4279,0.6365,0.2261,0.2842,
lgbm,0.5735,0.2692,0.6866,0.4105,0.4785,
