,pd,pf,auc,p,F
logsitic,0.3256,0.1220,0.4070,0.2029,0.2500,
bayes,0.2326,0.0599,0.4166,0.2703,0.2500,
random_forest,0.2791,0.0443,0.2306,0.3750,0.3200,
svc,0.0000,0.0022,0.4989,0.0000,0.0000,
mlp,0.4651,0.1818,0.4711,0.1961,0.2759,
lgbm,0.2326,0.0576,0.6786,0.2778,0.2532,
