kc3_10%,pd,pf,auc,p,F
logsitic,0.2424,0.1259,0.5005,0.3077,0.2712,
bayes,0.1818,0.0559,0.4095,0.4286,0.2553,
random_forest,0.3030,0.1329,0.3152,0.3448,0.3226,
svc,0.9394,0.8462,0.5466,0.2039,0.3351,
mlp,0.4545,0.2378,0.6329,0.3061,0.3659,
lgbm,0.3030,0.1189,0.6392,0.3704,0.3333,
