pc3_10%,pd,pf,auc,p,F
logsitic,0.4876,0.1943,0.5133,0.2634,0.3420,
bayes,0.5372,0.2108,0.3612,0.2664,0.3562,
random_forest,0.2727,0.0872,0.2773,0.3084,0.2895,
svc,1.0000,1.0000,0.5000,0.1247,0.2218,
mlp,0.8512,0.7444,0.7445,0.1401,0.2407,
lgbm,0.2562,0.1037,0.7114,0.2605,0.2583,
