pc3_20%,pd,pf,auc,p,F
logsitic,0.5648,0.2437,0.5409,0.2490,0.3456,
bayes,0.8426,0.5285,0.7035,0.1857,0.3043,
random_forest,0.3056,0.1020,0.2291,0.3000,0.3028,
svc,1.0000,1.0000,0.5000,0.1251,0.2225,
mlp,0.7037,0.5510,0.6647,0.1545,0.2533,
lgbm,0.3704,0.0954,0.7412,0.3571,0.3636,
