,pd,pf,auc,p,F
logsitic,0.9867,0.9960,0.7106,0.2735,0.4283,
bayes,0.1751,0.0524,0.3878,0.5593,0.2667,
random_forest,0.5093,0.1663,0.4105,0.5378,0.5232,
svc,0.9761,0.8175,0.5793,0.3121,0.4730,
mlp,0.6127,0.3760,0.6045,0.3825,0.4709,
lgbm,0.5066,0.1855,0.7307,0.5093,0.5080,
