,pd,pf,auc,p,F
logsitic,0.1944,0.0854,0.8019,0.2258,0.2090,
bayes,0.4167,0.2384,0.5495,0.1829,0.2542,
random_forest,0.3333,0.0783,0.2508,0.3529,0.3429,
svc,1.0000,1.0000,0.5000,0.1136,0.2040,
mlp,0.7778,0.5516,0.8415,0.1530,0.2557,
lgbm,0.1389,0.0605,0.6753,0.2273,0.1724,
