pc5_30%,pd,pf,auc,p,F
logsitic,0.9333,0.8249,0.6945,0.3008,0.4549,
bayes,0.1394,0.0311,0.3900,0.6301,0.2283,
random_forest,0.4333,0.1567,0.3852,0.5125,0.4696,
svc,0.9606,0.8111,0.5748,0.3105,0.4693,
mlp,0.7333,0.4343,0.6090,0.3910,0.5100,
lgbm,0.4030,0.1521,0.7201,0.5019,0.4471,
