kc3_20%,pd,pf,auc,p,F
logsitic,0.4138,0.2126,0.5646,0.3077,0.3529,
bayes,0.3448,0.1890,0.4743,0.2941,0.3175,
random_forest,0.2759,0.1181,0.2623,0.3478,0.3077,
svc,0.0000,0.0157,0.4921,0.0000,0.0000,
mlp,0.5172,0.2913,0.6174,0.2885,0.3704,
lgbm,0.2414,0.1260,0.6231,0.3043,0.2692,
