pc1_20%,pd,pf,auc,p,F
logsitic,0.3469,0.1105,0.4054,0.2297,0.2764,
bayes,0.4694,0.1667,0.4283,0.2110,0.2911,
random_forest,0.1837,0.0659,0.1757,0.2093,0.1957,
svc,1.0000,1.0000,0.5000,0.0867,0.1596,
mlp,0.6735,0.6919,0.7004,0.0846,0.1503,
lgbm,0.2245,0.0756,0.7321,0.2200,0.2222,
