,pd,pf,auc,p,F
logsitic,0.4337,0.1880,0.5533,0.4500,0.4417,
bayes,0.5181,0.1410,0.3455,0.5658,0.5409,
random_forest,0.4096,0.1111,0.2425,0.5667,0.4755,
svc,1.0000,0.7735,0.6132,0.3144,0.4784,
mlp,0.3735,0.6667,0.7807,0.1658,0.2296,
lgbm,0.3373,0.1111,0.7211,0.5185,0.4088,
