pc1_10%,pd,pf,auc,p,F
logsitic,0.4182,0.2017,0.6090,0.1643,0.2359,
bayes,0.4000,0.1931,0.5305,0.1642,0.2328,
random_forest,0.1273,0.0483,0.2300,0.2000,0.1556,
svc,1.0000,0.9862,0.5069,0.0877,0.1613,
mlp,0.6000,0.4966,0.6457,0.1028,0.1755,
lgbm,0.1818,0.0845,0.6309,0.1695,0.1754,
