mc2_30%,pd,pf,auc,p,F
logsitic,0.5484,0.2807,0.5869,0.5152,0.5312,
bayes,0.4194,0.1754,0.4621,0.5652,0.4815,
random_forest,0.4194,0.1404,0.4680,0.6190,0.5000,
svc,0.9677,0.9474,0.5102,0.3571,0.5217,
mlp,0.4516,0.1404,0.6607,0.6364,0.5283,
lgbm,0.5806,0.4386,0.6435,0.4186,0.4865,
