jedit4_20%,pd,pf,auc,p,F
logsitic,0.6500,0.2703,0.5333,0.4382,0.5235,
bayes,0.5500,0.1514,0.5064,0.5410,0.5455,
random_forest,0.6167,0.1838,0.5188,0.5211,0.5649,
svc,0.9833,0.8432,0.5700,0.2744,0.4291,
mlp,0.5833,0.3622,0.6483,0.3431,0.4321,
lgbm,0.6167,0.2162,0.7690,0.4805,0.5401,
