pc3_30%,pd,pf,auc,p,F
logsitic,0.7128,0.2481,0.5260,0.2900,0.4123,
bayes,0.9149,0.7413,0.7686,0.1493,0.2567,
random_forest,0.3617,0.1135,0.2285,0.3119,0.3350,
svc,0.0106,0.0000,0.5053,1.0000,0.0211,
mlp,0.7766,0.4206,0.5940,0.2080,0.3281,
lgbm,0.3191,0.0983,0.7335,0.3158,0.3175,
