cm1_30%,pd,pf,auc,p,F
logsitic,0.5667,0.3200,0.6307,0.2099,0.3063,
bayes,0.5000,0.7500,0.6675,0.0909,0.1538,
random_forest,0.0333,0.0850,0.3440,0.0556,0.0417,
svc,1.0000,1.0000,0.5000,0.1304,0.2308,
mlp,0.2667,0.4450,0.6748,0.0825,0.1260,
lgbm,0.2000,0.1200,0.6073,0.2000,0.2000,
